# HAN (c) Todt
ID	WCFS1.glc.over.NC8.glc	fdr.WCFS1.glc.over.NC8.glc
lp_0477	-0.0206214644	0.9706615249
lp_0479	0.2465292888	0.3496871199
lp_0480	0.1744861527	0.4564260172
lp_0481	-0.5582374308	0.0011695302
lp_0502	-0.7544535095	0.0732710955
lp_0505	-0.6452653543	0.0037984863
lp_0506	-0.4952458092	0.1176124894
lp_0507	-0.0755631045	0.8640429928
lp_0509	-0.3086208953	0.4870536963
lp_0510	-0.0028988601	0.9936673459
lp_0511	-0.2993075482	0.1157556729
lp_0512	0.230713103	0.5236317299
lp_0513	-0.1096547775	0.8388982235
lp_0514	0.2170517116	0.4723214164
lp_0515	0.4067910688	0.011829448
lp_0516	0.1199628875	0.64467615
lp_0517	0.1306476611	0.5785665033
lp_0518	0.0425349992	0.9000962514
lp_0520	0.1369079359	0.6081999202
lp_0522	0.0654986682	0.8610125042
lp_0523	0.1562862862	0.5376502323
lp_0524	0.1328445517	0.6383358883
lp_0527	-0.5538116819	0.3513692888
lp_0528	1.0588746236	0.0029654222
lp_0529	0.7686106944	0.0184996034
lp_0530	0.239857133	0.6311496967
lp_0531	0.4006618463	0.2511810535
lp_0532	0.7130621941	0.0067171753
lp_0533	0.6283871816	0.0001588291
lp_0535	0.5405716073	0.0234912726
lp_0536	-0.573075799	0.0024454242
lp_0537	0.0790246198	0.7892881304
lp_0538	0.4998846782	0.0330074183
lp_0539	0.101924323	0.7284737931
lp_0540	0.0776118493	0.801295948
lp_0541	0.0973190307	0.8211939758
lp_0542	0.1103680566	0.88178997
lp_0543	0.0913098618	0.7708123967
lp_0545	0.2867475499	0.1257140367
lp_0546	0.336418951	0.2203561464
lp_0547	0.0216204166	0.9615830765
lp_0548	-0.0428140054	0.940945692
lp_0549	0.0581288258	0.8958571099
lp_0550	0.1883265775	0.5237388884
lp_0551	0.0442913744	0.8913574179
lp_0552	0.1925097018	0.5160619019
lp_0555	0.5834600836	0.0368028074
lp_0556	0.6389915397	0.0020336074
lp_0557	0.7012348109	0.0014576021
lp_0558	0.7224842448	0.0029732036
lp_0559	0.1800873218	0.5236317299
lp_0561	-0.7298512325	0.0001742482
lp_0562	-0.101595631	0.7032694171
lp_0563	-0.0703948789	0.803977727
lp_0564	0.1692114179	0.5407866256
lp_0565	0.127751192	0.7216016461
lp_0566	0.1827892092	0.4105933321
lp_0567	0.3551707354	0.0898593104
lp_0568	0.1623487597	0.514716668
lp_0569	0.0789133536	0.801295948
lp_0570	0.1812661619	0.5958043409
lp_0571	0.8502253816	1.23E-007
lp_0572	0.7446235721	8.01E-006
lp_0574	0.8762332556	0.0009372647
lp_0575	-0.4619366215	0.0109178966
lp_0576	-0.2339475374	0.3485979648
lp_0583	1.9918330783	3.62E-014
lp_0585	0.2388563143	0.2257096325
lp_0586	0.2451230971	0.381280673
lp_0587	0.124962053	0.6870514058
lp_0588	0.1640859896	0.516300399
lp_0589	0.1139986414	0.7091453406
lp_0590	0.1636212045	0.6013897835
lp_0591	0.1269126855	0.7107448666
lp_0592	0.0757778614	0.8199405555
lp_0593	-0.2227736635	0.3616848934
lp_0594	-0.0499675953	0.8958571099
lp_0595	0.020990836	0.9634188042
lp_0597	-1.67273693	4.80E-020
lp_0600	-0.0636217927	0.9012347628
lp_0601	0.1872633198	0.4653906993
lp_0602	0.1130942967	0.6635963606
lp_0603	0.017743355	0.9725135136
lp_0604	0.0571829314	0.896343686
lp_0606	-0.038575284	0.9128316028
lp_0607	0.0776065269	0.8351068494
lp_0609	-0.0191973839	0.9661853816
lp_0610	0.1837345361	0.4525306292
lp_0611	-0.0066483211	0.9832189537
lp_0612	0.0201814372	0.9661853816
lp_0613	0.0349909875	0.9245836689
lp_0614	0.1022892464	0.719133933
lp_0616	-0.3086613194	0.8048547343
lp_0617	0.2046463774	0.3831217571
lp_0618	0.0899197869	0.752451963
lp_0619	-0.0336186321	0.9399419217
lp_0620	-0.0441870819	0.8956189003
lp_0621	-0.0806764559	0.8619555409
lp_0622	-0.1810809221	0.675647393
lp_0688	-0.4662240658	0.0402904653
lp_0689	-0.6573586532	0.0119270542
lp_0690	0.4146705636	0.0400485161
lp_0691	0.5232836099	0.0014853887
lp_0692	0.5484578404	0.0058417165
lp_0693	0.355692938	0.0690282842
lp_0694	0.2609362178	0.3397599042
lp_0695	-0.1333102932	0.6667943705
lp_0696	-0.1655055658	0.5480798406
lp_0698	0.3936076269	0.0325898284
lp_0699	0.4107531898	0.0327607077
lp_0700	0.4296978539	0.0099969073
lp_0701	0.3786381079	0.1543122218
lp_0703	-0.1599637436	0.5203692284
lp_0704	-0.1371969165	0.7296724731
lp_0705	-0.1845436676	0.3993701352
lp_0706	-0.241833513	0.336168367
lp_0707	-0.236959248	0.3060345832
lp_0708	-0.223347865	0.315117607
lp_0710	-0.2692851664	0.6488654635
lp_0711	0	1
lp_0712	0	1
lp_0713	0	1
lp_0714	0	1
lp_0715	0	1
lp_0717	-0.2291757675	0.3282219831
lp_0718	0.1248587577	0.6829496726
lp_0720	-0.0230044036	0.9661853816
lp_0721	0.0031768957	0.9933920884
lp_0723	0.1756533607	0.514716668
lp_0725	0.1611759765	0.6501176311
lp_0726	-0.384261214	0.1751687195
lp_0727	-0.2646544017	0.2862486651
lp_0728	-0.1784843553	0.4525306292
lp_0729	-0.470190104	0.0156689088
lp_0730	-0.1515510194	0.5730055733
lp_0733	0.3039159363	0.5523161449
lp_0734	0.1542462078	0.6501176311
lp_0735	0	1
lp_0736	0	1
lp_0737	0.0193510397	0.9706615249
lp_0739	-0.0139013332	0.9744569805
lp_0742	0.2366359983	0.210444477
lp_0743	0.4269398226	0.0071747323
lp_0744	0.2109711645	0.381280673
lp_0746	0.1211021473	0.8256635494
lp_0747	0.4723376749	0.2472084232
lp_0748	0.212180629	0.5702768386
lp_0749	0.2184116037	0.5690175791
lp_0750	0.2446495027	0.381280673
lp_0751	0.1299528229	0.6171407206
lp_0752	-0.2005088149	0.6732955901
lp_0753	-0.219340412	0.5665163587
lp_0754	-0.2378434119	0.2238793661
lp_0755	-0.1582561647	0.5313035365
lp_0756	-0.3301023065	0.087662337
lp_0757	-0.090244842	0.7889922439
lp_0758	-0.4142718872	0.0419220366
lp_0761	-0.6146246831	0.0002213079
lp_0762	-0.3370524393	0.1953709825
lp_0763	-0.3807547456	0.3851980253
lp_0764	0.6622386019	8.91E-005
lp_0765	-0.4016244837	0.2454117929
lp_0766	0.1394766786	0.6758704968
lp_0769	0.2482610941	0.6138405662
lp_0770	0.3345893344	0.2234995939
lp_0771	0.5307936478	0.0437958177
lp_0772	0.431446884	0.020402241
lp_0773	0.2151548845	0.3397599042
lp_0774	0.1240127342	0.6751209676
lp_0775	0.1047856519	0.7772041357
lp_0776	0.1565658463	0.6376137834
lp_0778	-0.4042200216	0.1791222774
lp_0779	-0.1939116885	0.3899390813
lp_0780	-0.361639916	0.0623784054
lp_0781	-0.2976208299	0.141031781
lp_0783	0.0438050508	0.9425062752
lp_0785	0.5330166317	0.0183880269
lp_0786	-0.2315726029	0.3077186479
lp_0787	1.1545746672	1.25E-010
lp_0788	0.2737202086	0.1995374833
lp_0789	0.0398896317	0.9126092013
lp_0790	0.058664913	0.8692738103
lp_0791	-0.0089110329	0.9830339981
lp_0792	0.1183167395	0.7029801772
lp_0793	-0.2536404427	0.2636559942
lp_0794	0.079567907	0.8097555593
lp_0795	-0.0343325619	0.940945692
lp_0796	0.1386738914	0.5982616653
lp_0797	-0.0380246652	0.9186980858
lp_0799	0.0737169754	0.8055701144
lp_0802	-1.1870412111	1.03E-010
lp_0803	-1.0147819654	1.50E-010
lp_0804	0.7701767227	1.72E-005
lp_0805	0.3897662805	0.035309798
lp_0806	0.2223121362	0.5203692284
lp_0807	0.3058182971	0.1189063062
lp_0809	0.0640903744	0.8804349593
lp_0810	-0.0313637217	0.9592231828
lp_0811	-0.0195680002	0.9706615249
